model,model_label,model_sort_key,layer,delta_name,n,mean,median,ci_low,ci_high,fraction_below_zero
Qwen_Qwen3-8B,8B,8.0,6,thinking_minus_no_think_answer,62,0.9975841429925734,1.0015602111816406,0.08213250867782111,1.9486400338911238,0.3870967741935484
Qwen_Qwen3-8B,8B,8.0,6,thinking_minus_think_answer,62,1.3814959064606698,1.114363193511962,0.5290058955069518,2.2489553786093195,0.3387096774193548
Qwen_Qwen3-8B,8B,8.0,13,think_answer_minus_no_think_answer,62,0.06685238499795237,0.26250362396240234,-0.2127773865576711,0.36038056150559444,0.41935483870967744
Qwen_Qwen3-8B,8B,8.0,13,thinking_minus_no_think_answer,62,-0.6167201611303514,-0.49956321716308505,-1.0798904182449465,-0.18532130891276996,0.6129032258064516
Qwen_Qwen3-8B,8B,8.0,13,thinking_minus_think_answer,62,-0.6835725461283038,-0.49464988708496094,-1.0425760221096776,-0.35305573863367895,0.6935483870967742
Qwen_Qwen3-8B,8B,8.0,20,think_answer_minus_no_think_answer,62,-0.5941022903688494,-0.5662527084350577,-0.7733952418450389,-0.41270429011314186,0.8225806451612904
Qwen_Qwen3-8B,8B,8.0,20,thinking_minus_no_think_answer,62,6.327488914612801,1.012535572052001,4.203613510054927,8.567842379308514,0.43548387096774194
Qwen_Qwen3-8B,8B,8.0,20,thinking_minus_think_answer,62,6.92159120498165,2.3944382667541495,4.815945508018617,9.131862744208306,0.2903225806451613
Qwen_Qwen3-14B,14B,14.0,6,think_answer_minus_no_think_answer,200,0.6915855169296264,0.5187120437622061,0.4051589460372924,0.9926588999032975,0.4
Qwen_Qwen3-14B,14B,14.0,6,thinking_minus_no_think_answer,200,0.7219117689132689,0.8874120712280273,0.20266533231735254,1.2604132682085034,0.43
Qwen_Qwen3-14B,14B,14.0,6,thinking_minus_think_answer,200,0.03032625198364257,0.17782211303710938,-0.49468906390666983,0.5491680830717086,0.49
Qwen_Qwen3-14B,14B,14.0,13,think_answer_minus_no_think_answer,200,0.6897090721130371,0.5885257720947275,0.5211278473138811,0.8475195884704589,0.27
Qwen_Qwen3-14B,14B,14.0,13,thinking_minus_no_think_answer,200,0.37242714405059807,0.40132761001587003,0.13282838249206544,0.5941615535020826,0.38
Qwen_Qwen3-14B,14B,14.0,13,thinking_minus_think_answer,200,-0.317281928062439,-0.08174276351928711,-0.567181092262268,-0.07659451055526746,0.51
Qwen_Qwen3-14B,14B,14.0,20,think_answer_minus_no_think_answer,200,-0.23061594486236572,-0.21772527694702148,-0.34336777317523953,-0.11551199102401737,0.605
Qwen_Qwen3-14B,14B,14.0,20,thinking_minus_no_think_answer,200,0.028007793426513636,0.16096162796020597,-0.14324913704395295,0.1940580276250837,0.47
Qwen_Qwen3-14B,14B,14.0,20,thinking_minus_think_answer,200,0.2586237382888794,0.3767209053039551,0.08537152397632597,0.4283887494802472,0.345
Qwen_Qwen3-32B,32B,32.0,6,think_answer_minus_no_think_answer,200,1.0068159627914428,0.9591174125671396,0.7271717512607574,1.2752740503549571,0.3
Qwen_Qwen3-32B,32B,32.0,6,thinking_minus_no_think_answer,200,4.140545024871826,4.051383495330811,3.637068203449249,4.672302792668343,0.145
Qwen_Qwen3-32B,32B,32.0,6,thinking_minus_think_answer,200,3.1337290620803833,3.2378339767456055,2.6319932348728177,3.680931923627853,0.19
Qwen_Qwen3-32B,32B,32.0,13,think_answer_minus_no_think_answer,200,0.40398823261260985,0.3585081100463876,0.210817550301552,0.5824249812364577,0.38
Qwen_Qwen3-32B,32B,32.0,13,thinking_minus_no_think_answer,200,0.2402484083175658,0.3957614898681632,-0.03344237327575678,0.5188276613950725,0.42
Qwen_Qwen3-32B,32B,32.0,13,thinking_minus_think_answer,200,-0.16373982429504402,0.050130844116211826,-0.45867538738250746,0.1258432976007461,0.475
Qwen_Qwen3-32B,32B,32.0,20,think_answer_minus_no_think_answer,200,0.46500913143157957,0.3593902587890616,0.30195179605484024,0.6247925889492035,0.34
Qwen_Qwen3-32B,32B,32.0,20,thinking_minus_no_think_answer,200,0.9570388460159301,1.1019930839538574,0.7127982728481294,1.1837791589498519,0.24
Qwen_Qwen3-32B,32B,32.0,20,thinking_minus_think_answer,200,0.49202971458435063,0.6659102439880353,0.22601121592521695,0.741330552458763,0.36
