scope,model,model_label,model_sort_key,layer,segment_label,phase_description,correct_label,statistic,n,mean,median,std,min,max,ci_low,ci_high
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,correct,max_lid,138,67.29894309112991,63.88382339477539,26.768589318376918,26.246904373168945,189.0521697998047,63.06543769214464,71.670261887191
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,correct,mean_lid,138,14.886831672573397,14.636279227944156,2.401738165214441,9.83664150900311,22.295355257440782,14.506583813526845,15.284848629705934
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,correct,min_lid,138,3.2955633781958316,3.3079421520233154,0.8434631469460573,1.1872776746749878,5.757774829864502,3.149120586073917,3.434823602956274
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,correct,slope_lid,138,-8.739846413593714,-6.801009269911247,7.394775167742006,-29.981558095577157,6.510786494412558,-9.935096520338073,-7.579867853439241
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,correct,variance_lid,138,183.44149749717099,166.41199896018892,117.43257927167211,36.49572167955005,736.7196397488991,164.93882998280398,203.21347186108207
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,wrong,auc_lid,12,13.466671127176184,13.007625763322793,3.184312804440398,8.048053605481982,20.55669077287746,11.759927710043446,15.277131951402776
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,wrong,boundary_jump_answer_minus_thinking,12,0.8362754980723063,4.148928642272949,9.461800681991152,-18.14977264404297,16.03995132446289,-4.437659176190693,5.522070164481797
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,wrong,early_late_diff,12,-4.697194249918092,-3.596936979779491,5.574526644102942,-13.297596944702995,3.304298520088196,-7.758596578831802,-1.636387711086978
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,wrong,fraction_below_low_threshold,12,0.04528163248485153,0.0,0.08817656205448965,0.0,0.2523364485981308,0.0024154589371980667,0.09863157012968192
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,wrong,max_lid,12,63.59168481826782,58.445709228515625,36.349552204133296,29.75990867614746,171.05224609375,47.929955911636355,85.99062213500339
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,wrong,mean_lid,12,13.803542073219576,13.229529437176824,3.36431741508016,8.24863554525745,21.52238197475672,12.004800654626992,15.72029843806843
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,wrong,min_lid,12,3.482392559448878,3.8392293453216553,1.1174799495218468,1.7538459300994873,4.728798866271973,2.8747242252031966,4.060461327185233
aggregate_across_models,ALL_MODELS,ALL_MODELS,,6,think_answer,thinking_model_answer_segment,wrong,slope_lid,12,-5.216498618354063,-4.141503408155636,6.534103997921145,-15.13202686115726,6.872179823655347,-8.80155439752351,-1.6252626770766843
