model,model_label,model_sort_key,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_05,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,6,per_sample,45,45,1.1351509809494018,6.102130699157715,0.7116884589195251,160.77696228027344,560.7473885204685,4.2158045768737775,0.7111111111111111,11.78590682865917,7.014164090156554
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_05,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,13,per_sample,45,45,1.7326571941375732,7.525220999452803,0.7897542715072632,172.65237426757812,673.2372055157829,5.471125213937324,0.7333333333333333,7.740702234489329,4.059019108613333
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,short_cycle_repetition,short_cycle_repetition_05,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,20,per_sample,45,45,1.5059205293655396,3.1747775223520067,0.719038724899292,23.632463455200195,22.490074491618103,2.777960846369916,0.6444444444444445,-6.979320426263664,-5.340302174290022
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_01,no_think,degenerate,templatic_repetition,,full_output,no_think_full,6,cross_model,115,115,1.1351509809494018,3.099748138759447,0.8257923126220703,137.55892944335938,160.52501896472393,2.5076163578451744,0.3130434782608696,4.268791882923873,2.60242314585324
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_01,no_think,degenerate,templatic_repetition,,full_output,no_think_full,13,cross_model,115,115,1.7326571941375732,4.273767868332241,1.3402398824691772,67.72887420654297,53.127876525950384,4.09474921121932,0.23478260869565218,-5.723295170756831,-4.546030155543623
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_01,no_think,degenerate,templatic_repetition,,full_output,no_think_full,20,cross_model,115,115,1.5059205293655396,2.9474229439445163,1.1285947561264038,31.33876609802246,9.536263061064572,2.810488725963392,0.28695652173913044,0.09737513880322035,-0.10391726576048788
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,6,cross_model,115,115,1.1351509809494018,2.8674928297167237,0.8195471167564392,118.9048080444336,119.71700663300307,2.3552649862933595,0.30434782608695654,3.5938429354012813,2.193207442760467
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,6,per_sample,115,115,1.1351509809494018,2.8674928297167237,0.8195471167564392,118.9048080444336,119.71700663300307,2.3552649862933595,0.30434782608695654,3.5938429354012813,2.193207442760467
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,13,cross_model,115,115,1.7326571941375732,3.7714700222015383,1.328106164932251,41.698829650878906,18.70166252247034,3.585347533226013,0.25217391304347825,-3.1742074112484637,-2.6146430105998597
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,13,per_sample,115,115,1.7326571941375732,3.7714700222015383,1.328106164932251,41.698829650878906,18.70166252247034,3.585347533226013,0.25217391304347825,-3.1742074112484637,-2.6146430105998597
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,20,cross_model,115,115,1.5059205293655396,2.7825211234714673,1.1249809265136719,19.660964965820312,4.947909171545451,2.6954653932337176,0.2782608695652174,-0.49207196764681427,-0.46803001288709956
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_02,no_think,degenerate,templatic_repetition,,full_output,no_think_full,20,per_sample,115,115,1.5059205293655396,2.7825211234714673,1.1249809265136719,19.660964965820312,4.947909171545451,2.6954653932337176,0.2782608695652174,-0.49207196764681427,-0.46803001288709956
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_03,no_think,degenerate,templatic_repetition,,full_output,no_think_full,6,cross_model,115,115,1.1351509809494018,3.0853741816852405,0.8208443522453308,141.81732177734375,170.55712465038016,2.474645277387219,0.2956521739130435,4.691312127885432,2.929408901724322
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_03,no_think,degenerate,templatic_repetition,,full_output,no_think_full,13,cross_model,115,115,1.7326571941375732,3.8159918422284336,1.294627070426941,50.02599334716797,25.274039885569493,3.5941687937368436,0.25217391304347825,-2.9846397767717505,-2.576067723076919
Qwen_Qwen3-1.7B,1.7B,1.7,exp_a,templatic_repetition,templatic_repetition_03,no_think,degenerate,templatic_repetition,,full_output,no_think_full,20,cross_model,115,115,1.5059205293655396,2.8182429106339164,1.1002349853515625,22.759265899658203,6.236014655176027,2.7175729504802777,0.28695652173913044,-0.4378090310847413,-0.4874350777987777
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000003,no_think,canonical,,True,full_output,no_think_full,6,cross_model,42,42,5.1519900321960455,15.023212160382952,4.238687992095947,73.08744049072266,153.09537756621708,14.18417286291355,0.11904761904761904,2.7148042659822913,-0.10980740460482608
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000003,no_think,canonical,,True,full_output,no_think_full,13,cross_model,42,42,6.515721368789673,11.31052169345674,4.3104963302612305,22.8319149017334,21.504770704744164,11.203014048134408,0.11904761904761904,-0.18937599144108416,-2.100228916515004
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000003,no_think,canonical,,True,full_output,no_think_full,20,cross_model,42,42,6.6000312805175785,12.344019537880307,5.610446453094482,33.94365310668945,30.253799104095908,12.111769571536927,0.047619047619047616,3.2517551108452127,0.9095900275490489
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000010,no_think,canonical,,False,full_output,no_think_full,6,cross_model,59,59,5.1519900321960455,14.298163304894658,3.8098933696746826,89.56981658935547,153.44271956786486,13.556899288605003,0.11864406779661017,-1.0442817526348736,-0.9759064674377456
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000010,no_think,canonical,,False,full_output,no_think_full,13,cross_model,59,59,6.515721368789673,11.357079287706796,4.025412559509277,29.428091049194336,23.82242841290437,11.204580940049272,0.1016949152542373,0.5159577272706093,0.10121924082438127
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000010,no_think,canonical,,False,full_output,no_think_full,20,cross_model,59,59,6.6000312805175785,10.795148881815248,5.060696601867676,28.532550811767578,19.026643052196842,10.643366320379847,0.15254237288135594,0.5700105602458285,0.3346227645874027
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000052,no_think,canonical,,False,full_output,no_think_full,6,cross_model,57,57,5.1519900321960455,13.943346993965015,5.026724815368652,53.74378967285156,99.28949838758011,13.418281487056188,0.03508771929824561,-4.52125925766794,-2.2240851084391267
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000052,no_think,canonical,,False,full_output,no_think_full,13,cross_model,57,57,6.515721368789673,12.23114151703684,4.3381829261779785,54.906131744384766,49.765275132391274,12.0509090082986,0.03508771929824561,1.3557232720016708,1.528776073455811
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000052,no_think,canonical,,False,full_output,no_think_full,20,cross_model,57,57,6.6000312805175785,11.19212251797057,6.152573108673096,37.10805130004883,23.714986551114155,10.974111080169678,0.08771929824561403,3.0921967380059754,2.276730728149415
Qwen_Qwen3-1.7B,1.7B,1.7,exp_b,canonical,gsm8k_test_000226,no_think,canonical,,False,full_output,no_think_full,6,per_sample,43,43,5.1519900321960455,15.705561283022858,4.6933674812316895,59.95065689086914,137.8894977763164,14.974009491148449,0.06976744186046512,-9.277835964904526,-6.258464986627752
