model,model_label,model_sort_key,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff,boundary_jump_answer_minus_thinking
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000257,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,59,59,6.1318488121032715,11.555039737184169,6.34787654876709,19.144163131713867,10.712854981263288,11.453696111152913,0.0,-1.4777935642307147,-0.7090636571248368,3.158968925476074
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000273,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,59,59,3.094149351119995,14.954629154528602,5.373875141143799,62.87419128417969,117.04188069462232,14.722194984041412,0.0,-4.483881235930885,-2.383548736572264,11.305500030517578
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000273,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,59,59,4.653426647186279,11.804901066472976,5.418233394622803,24.500402450561523,25.066505263989338,11.691381660001033,0.0,-3.777510731907217,-3.2965511957804345,5.146291732788086
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000273,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,59,59,6.1318488121032715,12.01534652709961,5.502011775970459,32.093563079833984,27.729030097276976,11.97156208136986,0.06779661016949153,-3.0568224906921557,-2.2672967592875146,1.0736274719238281
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000310,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,65,65,3.094149351119995,12.667600235572229,4.344724655151367,42.55099868774414,93.59959261126102,12.353766143321991,0.0,-5.746430337012234,-6.055220099056468,-0.10975265502929688
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000310,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,65,65,4.653426647186279,11.524115738501916,5.509116172790527,29.819992065429688,32.198524906278976,11.371863409876823,0.0,-5.911231677182077,-5.10713992399328,-3.1565418243408203
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000310,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,65,65,6.1318488121032715,11.695692876669076,5.988943099975586,29.311803817749023,25.245389050019664,11.521983318030834,0.015384615384615385,-1.9103649099390045,-1.6969473221722762,1.2644033432006836
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000325,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,61,61,3.094149351119995,15.477278971281208,2.8580539226531982,94.39236450195312,286.214716190602,15.22409276564916,0.01639344262295082,-24.93081653843095,-20.422874629497528,-24.350780487060547
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000325,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,61,61,4.653426647186279,11.468331848988768,2.816169261932373,28.566226959228516,33.008079485145636,11.38795344432195,0.08196721311475409,-7.482491183318761,-5.21576127409935,-15.073325157165527
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000325,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,61,61,6.1318488121032715,12.309076973649322,3.8240199089050293,30.58977699279785,34.970336266119936,12.182734274864199,0.09836065573770492,-9.10920024561163,-6.369772344827652,0.7000274658203125
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000364,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,44,44,3.094149351119995,14.179595551707529,3.09858775138855,55.41280746459961,130.8410204948731,13.818758604138399,0.0,-5.579970038298409,-2.077819585800171,-45.511016845703125
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000364,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,44,44,4.653426647186279,10.90129668604244,3.537386655807495,27.44792938232422,32.36795172355498,10.781870115635007,0.09090909090909091,-6.514245765136945,-4.519169222224844,-18.126567840576172
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000364,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,44,44,6.1318488121032715,13.04646221074191,4.781398296356201,31.680618286132812,37.3030818775882,12.911913117697072,0.045454545454545456,-7.303227514209168,-6.603414015336472,-0.7141017913818359
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000389,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,51,51,3.094149351119995,15.994788871091956,5.267251014709473,88.48975372314453,257.36665320813984,15.794373559951785,0.0,-2.995867196251361,-1.3263529997605517,-20.583473205566406
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000389,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,51,51,4.653426647186279,11.759192111445408,4.524613380432129,30.62761878967285,22.44997041992463,11.718709897994994,0.0196078431372549,-1.1971576095166718,-0.8226202818063584,-15.630128860473633
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000389,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,51,51,6.1318488121032715,13.998819884131937,5.951094627380371,35.96236801147461,43.2061196409253,13.974695720672607,0.0196078431372549,0.583393524135403,-0.06000210688664431,-7.061315536499023
Qwen_Qwen3-14B,14B,14.0,exp_c,no_think,gsm8k_test_000432,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,46,46,3.094149351119995,17.830463347227678,3.342876434326172,96.4718246459961,342.28441232396506,17.2182186126709,0.0,-11.695909434838171,-9.358094175656635,-25.880186080932617
