model,model_label,model_sort_key,example_id,layer,delta_name,delta,think_correct,no_think_correct
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000109,6,thinking_minus_think_answer,-0.0014121257700026035,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000109,6,thinking_minus_no_think_answer,-0.0013969950377941132,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000109,13,think_answer_minus_no_think_answer,0.00011860765516757965,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000109,13,thinking_minus_think_answer,-0.0005257367156445971,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000109,13,thinking_minus_no_think_answer,-0.0004071290604770175,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000109,20,think_answer_minus_no_think_answer,-4.834029823541641e-06,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000109,20,thinking_minus_think_answer,-0.0004759477451443672,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000109,20,thinking_minus_no_think_answer,-0.00048078177496790886,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000118,6,think_answer_minus_no_think_answer,0.001240956597030162,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000118,6,thinking_minus_think_answer,-0.0010690679773688308,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000118,6,thinking_minus_no_think_answer,0.00017188861966133118,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000118,13,think_answer_minus_no_think_answer,0.000711647793650628,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000118,13,thinking_minus_think_answer,-0.0004962650127708921,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000118,13,thinking_minus_no_think_answer,0.00021538278087973595,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000118,20,think_answer_minus_no_think_answer,0.0007440783083438882,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000118,20,thinking_minus_think_answer,-0.000783854629844428,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000118,20,thinking_minus_no_think_answer,-3.977632150053978e-05,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000133,6,think_answer_minus_no_think_answer,0.0001436891034245491,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000133,6,thinking_minus_think_answer,-0.0005691470578312874,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000133,6,thinking_minus_no_think_answer,-0.0004254579544067383,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000133,13,think_answer_minus_no_think_answer,0.0005188970826566211,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000133,13,thinking_minus_think_answer,-0.0002880804240703574,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000133,13,thinking_minus_no_think_answer,0.00023081665858626366,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000133,20,think_answer_minus_no_think_answer,0.000836456660181284,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000133,20,thinking_minus_think_answer,-0.0007948335260152817,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000133,20,thinking_minus_no_think_answer,4.1623134166002274e-05,True,True
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000150,6,think_answer_minus_no_think_answer,-0.00036355061456561,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000150,6,thinking_minus_think_answer,-0.0025319247506558895,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000150,6,thinking_minus_no_think_answer,-0.0028954753652214995,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000150,13,think_answer_minus_no_think_answer,3.266194835305127e-05,False,False
Qwen_Qwen3-1.7B,1.7B,1.7,gsm8k_test_000150,13,thinking_minus_think_answer,-0.0004413058049976817,False,False
