model,model_label,model_sort_key,prompt_variant,layer,n,mean,median,ci_low,ci_high
Qwen_Qwen3-8B,8B,8.0,canonical,13,100,0.002926420650910586,0.002920630155131221,0.002883077926991973,0.002974831810337491
Qwen_Qwen3-8B,8B,8.0,irrelevant_context,13,100,0.002967771871481091,0.002915324759669602,0.0029227184256887992,0.003017192359082401
Qwen_Qwen3-8B,8B,8.0,repetitive_filler,13,100,0.002907475724350661,0.002916061202995479,0.002867936633876525,0.0029518545760656703
Qwen_Qwen3-8B,8B,8.0,canonical,20,100,0.002871819760184735,0.0028746830066666007,0.0028377128876745697,0.0029086406308342703
Qwen_Qwen3-8B,8B,8.0,irrelevant_context,20,100,0.0030141159985214473,0.002931319526396692,0.0028931216289056465,0.0032376687452197075
Qwen_Qwen3-8B,8B,8.0,repetitive_filler,20,100,0.0028871104563586414,0.002883547334931791,0.002851609639474191,0.002924593559815548
Qwen_Qwen3-14B,14B,14.0,canonical,6,100,0.0030977565851062535,0.0031174024567008018,0.003020821786439046,0.0031744037626311185
Qwen_Qwen3-14B,14B,14.0,irrelevant_context,6,100,0.0031072587165981535,0.003030561190098524,0.003031427821982652,0.0031857406508643184
Qwen_Qwen3-14B,14B,14.0,repetitive_filler,6,100,0.0031049181986600154,0.003073387034237385,0.0030290885904338213,0.003181509081134573
Qwen_Qwen3-14B,14B,14.0,canonical,13,100,0.0023083938397467137,0.0022908360697329044,0.0022672268477734177,0.002347788763884455
Qwen_Qwen3-14B,14B,14.0,irrelevant_context,13,100,0.0023446140196174384,0.0023353886790573597,0.0023053931198082868,0.0023843331549782305
Qwen_Qwen3-14B,14B,14.0,repetitive_filler,13,100,0.0023053701482713225,0.002294638752937317,0.0022644533145241433,0.002345102480845526
Qwen_Qwen3-14B,14B,14.0,canonical,20,100,0.0024167551435530185,0.002403698395937681,0.002381609615823254,0.0024522001490462574
Qwen_Qwen3-14B,14B,14.0,irrelevant_context,20,100,0.0024438884537667034,0.002429468650370836,0.002410660481313243,0.0024773887375369665
Qwen_Qwen3-14B,14B,14.0,repetitive_filler,20,100,0.0024204514324665067,0.0024292846210300922,0.002387617366015911,0.0024525372766423972
Qwen_Qwen3-32B,32B,32.0,canonical,6,100,0.0029425028804689647,0.002923614252358675,0.00285786025878042,0.0030302777230739597
Qwen_Qwen3-32B,32B,32.0,irrelevant_context,6,100,0.002946576124057174,0.002918917313218117,0.002864914357196539,0.0030299049348570407
Qwen_Qwen3-32B,32B,32.0,repetitive_filler,6,100,0.002921578960493207,0.0028478926979005337,0.002843459077505395,0.0029997317519970244
Qwen_Qwen3-32B,32B,32.0,canonical,13,100,0.0027039668131619687,0.002685370109975338,0.0026463117242790757,0.0027623859533108777
Qwen_Qwen3-32B,32B,32.0,irrelevant_context,13,100,0.002724226282909513,0.0026851587928831576,0.002664544321363792,0.002785230802418663
Qwen_Qwen3-32B,32B,32.0,repetitive_filler,13,100,0.002700565798208117,0.0027103636413812636,0.002647179692192003,0.002757700690114871
Qwen_Qwen3-32B,32B,32.0,canonical,20,100,0.00251625600270927,0.0025032013654708862,0.0024746016001794486,0.0025591143564321103
Qwen_Qwen3-32B,32B,32.0,irrelevant_context,20,100,0.002558470597490668,0.002525615692138672,0.0025159812943078576,0.0026049414869863544
Qwen_Qwen3-32B,32B,32.0,repetitive_filler,20,100,0.0025415777862071993,0.002511968463659286,0.0025025639104656874,0.0025808618649840348
