model,model_label,model_sort_key,hidden_dim,lid_value_normalization,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff,boundary_jump_answer_minus_thinking,sample_scope
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001031,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,52,52,0.0011393683264032007,0.002888144157343329,0.0012510835658758879,0.007268733810633421,1.8935777505210872e-06,0.002857936254026843,0.0,-0.00116620983846326,-0.0008892200869293166,-0.0003200131468474865,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001031,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,52,52,0.0014959154883399605,0.002945624502339902,0.001612390042282641,0.007642918266355991,1.330119508373171e-06,0.0029078735102552405,0.0,0.0005053225301506197,0.0004621169064193964,-0.0005276123993098736,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001038,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,65,65,0.0007245007436722517,0.0034602216991166082,0.0004956810153089464,0.023486344143748283,1.451578162306233e-05,0.003265733493208245,0.12307692307692308,-0.0018876492786644558,-0.0015259510837495327,-0.00114343105815351,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001038,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,65,65,0.0011393683264032007,0.002618265257646831,0.001032321946695447,0.006892997305840254,1.4309454623209248e-06,0.0025943031250790227,0.046153846153846156,-0.0014139421293967885,-0.0011685340363970574,-0.0021396311931312084,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001038,no_think,canonical,,False,answer_segment,no_think_answer,20,exp_c_segment_sample,65,65,0.0014959154883399605,0.0029567771824076773,0.001417113235220313,0.008214903995394707,1.276986148138167e-06,0.0029215818212833256,0.015384615384615385,-0.00021547580274616825,-5.065122454920223e-05,-0.0012721240054816008,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001043,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,50,50,0.0007245007436722517,0.002877742248820141,0.0007670235354453325,0.008554504252970219,3.828949716218668e-06,0.002782998184854051,0.0,-0.0007450932638226606,-0.00018490016317138308,-0.0006978735327720642,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001043,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,50,50,0.0011393683264032007,0.0022848685295321046,0.0011855611810460687,0.005555345211178064,8.006442012975525e-07,0.002236975378318861,0.0,2.472637193825272e-05,9.701320400031703e-05,0.00041459035128355026,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001043,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,50,50,0.0014959154883399605,0.002649714287836105,0.0011243728222325444,0.010573596693575382,2.0496858468388813e-06,0.0025564049280305604,0.08,-6.963927709661586e-05,-7.21972095421874e-05,0.0005624236073344946,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001059,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,47,47,0.0007245007436722517,0.0040240607625666135,0.0007148330332711339,0.01683524250984192,1.045868475294948e-05,0.0038379364894986483,0.02127659574468085,-0.0011862246777882136,-0.0010462010056168465,-0.002657668897882104,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001059,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,47,47,0.0011393683264032007,0.0027020444395020604,0.001127223251387477,0.005528068169951439,9.216354408757646e-07,0.0026730197942410796,0.02127659574468085,-0.0002604809124022731,-0.0002870239356222255,-0.0005489257164299488,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001059,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,47,47,0.0014959154883399605,0.0028455143898448096,0.0014140487182885408,0.006099165882915258,8.849407588260584e-07,0.0027938908821417267,0.02127659574468085,0.0005681850598193695,0.00033129314154696976,-0.000767354853451252,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001182,no_think,canonical,,True,answer_segment,no_think_answer,6,exp_c_segment_sample,65,65,0.0007245007436722517,0.0049156252894765485,0.0007816135184839368,0.021276583895087242,2.110620290590324e-05,0.0048218679539786535,0.0,-0.0066020442330819076,-0.004046892983537605,-0.004449928179383278,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001182,no_think,canonical,,True,answer_segment,no_think_answer,13,exp_c_segment_sample,65,65,0.0011393683264032007,0.003094484732271387,0.0009475890547037125,0.008151408284902573,2.187213556023507e-06,0.0030751314989174716,0.03076923076923077,-0.0020519986742182634,-0.001514935112722656,-0.001967046409845352,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001182,no_think,canonical,,True,answer_segment,no_think_answer,20,exp_c_segment_sample,65,65,0.0014959154883399605,0.003090340422036556,0.0011383960954844952,0.008584337309002876,1.6676223754722148e-06,0.0030519841293425998,0.03076923076923077,-0.0010255590918102706,-0.0009771207525559205,-0.0005584105383604765,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001209,no_think,canonical,,False,answer_segment,no_think_answer,6,exp_c_segment_sample,48,48,0.0007245007436722517,0.004050642790995577,0.0004243080329615623,0.022898754104971886,1.55117318685974e-05,0.003808778488359591,0.14583333333333334,-0.0010120572712496963,-0.0011142424749171678,0.002850227989256382,per_model_kept_independent_plus_common_union
Qwen_Qwen3-8B,8B,8.0,4096,hidden_dim,exp_c,no_think,gsm8k_test_001209,no_think,canonical,,False,answer_segment,no_think_answer,13,exp_c_segment_sample,48,48,0.0011393683264032007,0.0031354527115278565,0.0006384268053807318,0.011059947311878204,3.583086981338984e-06,0.0030384865648885985,0.14583333333333334,-0.0013968209113583616,-0.001073184059350751,-5.8973440900444984e-05,per_model_kept_independent_plus_common_union
