model,model_label,model_sort_key,hidden_dim,lid_value_normalization,experiment,condition,example_id,mode,prompt_variant,family,correct,segment,segment_label,layer,source,n_tokens,valid_tokens,low_lid_threshold,mean_lid,min_lid,max_lid,variance_lid,auc_lid,fraction_below_low_threshold,slope_lid,early_late_diff
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,6,cross_model,29,29,0.0005542729399167001,0.0043756280391444935,0.0006653750315308571,0.09223240613937378,0.0002763140974413874,0.002807281782484746,0.0,0.01562397162638733,0.009897824776999187
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,13,cross_model,29,29,0.0008460240205749869,0.0023377513922429806,0.000815062434412539,0.013824431225657463,7.602134034218427e-06,0.002016708865994587,0.034482758620689655,-0.0015336386490099408,-0.0013465025476762094
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_01,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,20,cross_model,29,29,0.0007353127584792674,0.0016930947975448236,0.000849247386213392,0.010749795474112034,3.2650047145534484e-06,0.0015009764527868742,0.0,0.00061196505798605,0.0002837709107552655
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,6,cross_model,37,37,0.0005542729399167001,0.002040638479819471,0.0005545284366235137,0.03263883665204048,2.751914130972303e-05,0.0015619695687847629,0.0,0.0021846306834510335,0.0011951024469453839
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,13,cross_model,37,37,0.0008460240205749869,0.0027533653601248924,0.0006298648077063262,0.033244289457798004,2.9948385627888937e-05,0.002259760671424576,0.4864864864864865,-0.000209143100793913,-0.0007094682310707871
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_02,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,20,cross_model,37,37,0.0007353127584792674,0.0016408889173731408,0.0005593047244474292,0.014682570472359657,6.093913702102926e-06,0.0013950082858274174,0.35135135135135137,1.0358626393875564e-05,-0.00014164186432026344
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,6,cross_model,64,64,0.0005542729399167001,0.002302043657437025,0.0004462565411813557,0.07882384210824966,9.372004907648081e-05,0.0016856791944952613,0.3125,0.005016813081098147,0.0032480715763085755
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,13,cross_model,64,64,0.0008460240205749869,0.003289442306595447,0.0005210047820582986,0.07865338027477264,9.561309612364422e-05,0.002655510078295181,0.40625,0.0015447669227376941,0.0005778090599051211
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_03,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,20,cross_model,64,64,0.0007353127584792674,0.0011577822660910897,0.0005471229087561369,0.00892569962888956,1.267602361275009e-06,0.0010812992935941097,0.296875,-0.00026767043511007115,-0.00022860576063976623
Qwen_Qwen3-1.7B,1.7B,1.7,2048,hidden_dim,exp_a,short_cycle_repetition,short_cycle_repetition_05,no_think,degenerate,short_cycle_repetition,,full_output,no_think_full,6,per_sample,45,45,0.0005542729399167001,0.002979556005448103,0.0003475041303317994,0.07850437611341476,0.0001336925956059619,0.002058498328551649,0.7111111111111111,0.0057548373186812355,0.003424884809646755
